area_name,area_url
本郷・東大周辺,tokyo/A1310/A131004
上野・御徒町・湯島,tokyo/A1311/A131101
浅草,tokyo/A1311/A131102
浅草橋・蔵前,tokyo/A1311/A131103
鶯谷・入谷,tokyo/A1311/A131104
日暮里,tokyo/A1311/A131105
根津・千駄木・谷中,tokyo/A1311/A131106
両国・錦糸町,tokyo/A1312/A131201
亀戸・平井,tokyo/A1312/A131202
曳舟・向島・押上周辺,tokyo/A1312/A131203
小岩・新小岩,tokyo/A1312/A131204
船堀～篠崎,tokyo/A1312/A131205
築地,tokyo/A1313/A131301
月島・勝どき,tokyo/A1313/A131302
門前仲町・木場・東陽町,tokyo/A1313/A131303
京葉線沿線,tokyo/A1313/A131304
葛西・西葛西,tokyo/A1313/A131305
お台場周辺,tokyo/A1313/A131306
豊洲,tokyo/A1313/A131307
浜松町・芝公園,tokyo/A1314/A131401
田町・三田,tokyo/A1314/A131402
品川,tokyo/A1314/A131403
天王洲アイル,tokyo/A1314/A131404
北品川・新馬場,tokyo/A1314/A131405
大井町・青物横丁,tokyo/A1315/A131501
大森・平和島,tokyo/A1315/A131502
蒲田,tokyo/A1315/A131503
羽田空港周辺,tokyo/A1315/A131504
目黒,tokyo/A1316/A131601
白金,tokyo/A1316/A131602
五反田・高輪台,tokyo/A1316/A131603
大崎,tokyo/A1316/A131604
中目黒・祐天寺,tokyo/A1317/A131701
学芸大学・都立大学,tokyo/A1317/A131702
自由が丘,tokyo/A1317/A131703
田園調布・多摩川,tokyo/A1317/A131704
池尻大橋・三宿,tokyo/A1317/A131705
三軒茶屋,tokyo/A1317/A131706
駒沢大学～用賀,tokyo/A1317/A131707
二子玉川,tokyo/A1317/A131708
若林～上町（世田谷線）,tokyo/A1317/A131709
不動前・武蔵小山・西小山,tokyo/A1317/A131710
洗足・大岡山・奥沢,tokyo/A1317/A131711
戸越・中延・旗の台周辺,tokyo/A1317/A131712
馬込・西馬込,tokyo/A1317/A131713
長原～蓮沼（池上線）,tokyo/A1317/A131714
九品仏～上野毛（大井町線）,tokyo/A1317/A131715
沼部～矢口渡（多摩川線）,tokyo/A1317/A131716
駒場東大前・池ノ上,tokyo/A1318/A131801
下北沢,tokyo/A1318/A131802
新代田・東松原,tokyo/A1318/A131803
明大前,tokyo/A1318/A131804
永福町～浜田山,tokyo/A1318/A131805
高井戸～久我山,tokyo/A1318/A131806
初台・幡ヶ谷,tokyo/A1318/A131807
笹塚・代田橋,tokyo/A1318/A131808
下高井戸～千歳烏山,tokyo/A1318/A131809
参宮橋・代々木八幡,tokyo/A1318/A131810
代々木上原・東北沢,tokyo/A1318/A131811
世田谷代田・梅ヶ丘,tokyo/A1318/A131812
豪徳寺・経堂・千歳船橋,tokyo/A1318/A131813
祖師ヶ谷大蔵・成城,tokyo/A1318/A131814
東中野,tokyo/A1319/A131901
中野,tokyo/A1319/A131902
中野坂上～方南町,tokyo/A1319/A131903
高円寺,tokyo/A1319/A131904
阿佐ヶ谷,tokyo/A1319/A131905
荻窪,tokyo/A1319/A131906
西荻窪,tokyo/A1319/A131907
吉祥寺,tokyo/A1320/A132001
三鷹,tokyo/A1320/A132002
武蔵境,tokyo/A1320/A132003
椎名町～桜台,tokyo/A1321/A132101
練馬～練馬高野台・光が丘,tokyo/A1321/A132102
石神井公園・大泉学園,tokyo/A1321/A132103
下落合・鷺ノ宮・下井草,tokyo/A1321/A132104
井荻・上石神井・武蔵関,tokyo/A1321/A132105
北池袋・板橋駅周辺,tokyo/A1322/A132201
要町～平和台（有楽町線）,tokyo/A1322/A132202
大山～東武練馬（東武東上線）,tokyo/A1322/A132203
赤塚・成増,tokyo/A1322/A132204
板橋区役所前～（都営三田線）,tokyo/A1322/A132205
巣鴨・駒込・白山,tokyo/A1323/A132301
大塚・護国寺,tokyo/A1323/A132302
王子,tokyo/A1323/A132303
十条,tokyo/A1323/A132304
赤羽,tokyo/A1323/A132305
町屋・南千住,tokyo/A1324/A132401
北千住,tokyo/A1324/A132402
葛飾・柴又,tokyo/A1324/A132403
綾瀬・竹ノ塚,tokyo/A1324/A132404
小金井,tokyo/A1325/A132501
国分寺,tokyo/A1325/A132502
国立,tokyo/A1325/A132503
調布,tokyo/A1326/A132601
府中,tokyo/A1326/A132602
狛江,tokyo/A1326/A132603
町田,tokyo/A1327/A132701
多摩・聖蹟桜ヶ丘,tokyo/A1327/A132702
稲城,tokyo/A1327/A132703
西東京,tokyo/A1328/A132801
東久留米,tokyo/A1328/A132802
清瀬,tokyo/A1328/A132803
小平,tokyo/A1328/A132804
東大和,tokyo/A1328/A132805
東村山,tokyo/A1328/A132806
立川,tokyo/A1329/A132901
昭島・拝島,tokyo/A1329/A132902
日野・豊田,tokyo/A1329/A132903
八王子,tokyo/A1329/A132904
高尾山周辺,tokyo/A1329/A132905
熊川～秋川渓谷,tokyo/A1330/A133001
福生・羽村,tokyo/A1330/A133002
青梅,tokyo/A1330/A133003
奥多摩町,tokyo/A1330/A133004
伊豆諸島,tokyo/A1331/A133101
小笠原諸島,tokyo/A1331/A133102
横浜駅周辺,kanagawa/A1401/A140101
桜木町・高島町,kanagawa/A1401/A140102
みなとみらい,kanagawa/A1401/A140103
関内・伊勢佐木町,kanagawa/A1401/A140104
元町・中華街・石川町,kanagawa/A1401/A140105
山手・本牧,kanagawa/A1401/A140106
たまプラーザ～市が尾,kanagawa/A1401/A140201
藤が丘・青葉台・田奈,kanagawa/A1401/A140202
港北ニュータウン,kanagawa/A1401/A140203
日吉・綱島・大倉山,kanagawa/A1401/A140204
菊名～反町,kanagawa/A1401/A140205
新横浜駅周辺,kanagawa/A1401/A140206
小机～中山（横浜線）,kanagawa/A1401/A140207
長津田・十日市場,kanagawa/A1401/A140208
三ッ沢・羽沢,kanagawa/A1401/A140209
鶴見,kanagawa/A1401/A140210
子安・新子安,kanagawa/A1401/A140211
神奈川・東神奈川,kanagawa/A1401/A140212
保土ケ谷・天王町・星川,kanagawa/A1401/A140301
和田町～鶴ヶ峰,kanagawa/A1401/A140302
二俣川・希望ヶ丘・三ツ境,kanagawa/A1401/A140303
いずみ野線・中田周辺,kanagawa/A1401/A140304
戸塚・東戸塚,kanagawa/A1401/A140305
黄金町・井土ヶ谷・弘明寺,kanagawa/A1401/A140306
上大岡・永谷,kanagawa/A1401/A140307
磯子・根岸・杉田,kanagawa/A1401/A140308
洋光台・港南台・本郷台,kanagawa/A1401/A140309
金沢文庫・金沢八景・能見台,kanagawa/A1401/A140310
大船・北鎌倉,kanagawa/A1404/A140401
鎌倉,kanagawa/A1404/A140402
江の島,kanagawa/A1404/A140403
藤沢・辻堂,kanagawa/A1404/A140404
湘南台,kanagawa/A1404/A140405
茅ヶ崎,kanagawa/A1404/A140406
平塚,kanagawa/A1404/A140407
大磯・二宮,kanagawa/A1404/A140408
川崎駅周辺,kanagawa/A1405/A140501
川崎区その他,kanagawa/A1405/A140502
幸区,kanagawa/A1405/A140503
中原区（武蔵小杉周辺）,kanagawa/A1405/A140504
高津区（溝の口周辺）,kanagawa/A1405/A140505
多摩区,kanagawa/A1405/A140506
宮前区,kanagawa/A1405/A140507
麻生区（新百合ヶ丘周辺）,kanagawa/A1405/A140508
横須賀市,kanagawa/A1406/A140601
逗子・葉山,kanagawa/A1406/A140602
三浦海岸・三崎,kanagawa/A1406/A140603
相模原市,kanagawa/A1407/A140701
大和市,kanagawa/A1407/A140702
座間市,kanagawa/A1407/A140703
愛川町・清川村,kanagawa/A1407/A140704
海老名市,kanagawa/A1408/A140801
厚木市,kanagawa/A1408/A140802
伊勢原市,kanagawa/A1408/A140803
秦野市,kanagawa/A1408/A140804
小田原,kanagawa/A1409/A140901
南足柄・足柄上郡,kanagawa/A1409/A140902
箱根,kanagawa/A1410/A141001
湯河原・真鶴,kanagawa/A1410/A141002
大宮・与野周辺,saitama/A1101/A110101
浦和周辺,saitama/A1101/A110102
さいたま市その他,saitama/A1101/A110103
川口・鳩ヶ谷,saitama/A1102/A110201
戸田・蕨,saitama/A1102/A110202
越谷・草加,saitama/A1102/A110203
春日部市,saitama/A1102/A110204
三郷・吉川周辺,saitama/A1102/A110205
和光・新座・朝霞,saitama/A1103/A110301
富士見・志木周辺,saitama/A1103/A110302
川越市,saitama/A1103/A110303
坂戸・鶴ヶ島,saitama/A1103/A110304
上尾・鴻巣周辺,saitama/A1104/A110401
久喜・蓮田周辺,saitama/A1104/A110402
行田・加須周辺,saitama/A1104/A110403
熊谷市,saitama/A1105/A110501
東松山周辺,saitama/A1105/A110502
深谷市,saitama/A1105/A110503
本庄周辺,saitama/A1105/A110504
所沢市,saitama/A1106/A110601
狭山・入間,saitama/A1106/A110602
飯能・日高周辺,saitama/A1106/A110603
寄居・小川町・ときがわ町,saitama/A1105/A110605
秩父・小鹿野,saitama/A1107/A110701
横瀬町,saitama/A1107/A110703
長瀞・皆野周辺,saitama/A1107/A110704
中央区,chiba/A1201/A120101
幕張新都心,chiba/A1201/A120102
美浜区,chiba/A1201/A120103
稲毛区・花見川区,chiba/A1201/A120104
若葉区・緑区,chiba/A1201/A120105
船橋市,chiba/A1202/A120201
市川市,chiba/A1202/A120202
浦安・東京ディズニーリゾート,chiba/A1202/A120203
習志野・八千代,chiba/A1202/A120204
柏市,chiba/A1203/A120301
松戸市,chiba/A1203/A120302
鎌ヶ谷・白井,chiba/A1203/A120303
我孫子・印西,chiba/A1203/A120304
野田・流山,chiba/A1203/A120305
成田,chiba/A1204/A120401
佐倉・印旛沼,chiba/A1204/A120402
八街・両総台地,chiba/A1204/A120403
佐原・水郷,chiba/A1204/A120404
市原,chiba/A1206/A120601
木更津・袖ヶ浦,chiba/A1206/A120602
君津・富津・鋸南,chiba/A1206/A120603
勝浦市,chiba/A1207/A120701
いすみ・御宿・大多喜,chiba/A1207/A120702
鴨川市,chiba/A1207/A120703
南房総・館山,chiba/A1207/A120704
銚子・犬吠埼,chiba/A1205/A120501
九十九里浜北部,chiba/A1205/A120502
九十九里浜中部,chiba/A1205/A120503
九十九里浜南部,chiba/A1205/A120504
宇都宮市,tochigi/A0901/A090101
鹿沼,tochigi/A0901/A090102
栃木・壬生・岩舟,tochigi/A0902/A090201
佐野・足利,tochigi/A0902/A090202
小山・下野,tochigi/A0902/A090203
日光,tochigi/A0903/A090301
今市,tochigi/A0903/A090302
鬼怒川温泉・栗山,tochigi/A0903/A090303
足尾,tochigi/A0903/A090304
真岡・益子,tochigi/A0904/A090401
大田原・馬頭温泉,tochigi/A0904/A090402
烏山,tochigi/A0904/A090403
那須・黒磯,tochigi/A0905/A090501
矢板・喜連川,tochigi/A0905/A090502
水戸,ibaraki/A0801/A080101
ひたちなか・大洗,ibaraki/A0801/A080102
笠間,ibaraki/A0801/A080103
つくば・筑波山,ibaraki/A0802/A080201
土浦・かすみがうら,ibaraki/A0802/A080202
石岡,ibaraki/A0802/A080203
守谷・取手・つくばみらい,ibaraki/A0803/A080301
牛久・龍ヶ崎,ibaraki/A0803/A080302
稲敷・阿見,ibaraki/A0803/A080303
水郷潮来・鹿島神宮,ibaraki/A0804/A080401
北浦周辺・行方,ibaraki/A0804/A080402
鹿島灘沿岸・鉾田,ibaraki/A0804/A080403
日立・東海・高萩,ibaraki/A0805/A080501
那珂・常陸太田,ibaraki/A0805/A080502
大子・常陸大宮,ibaraki/A0805/A080503
古河,ibaraki/A0806/A080601
結城・下妻,ibaraki/A0806/A080602
常総・坂東,ibaraki/A0806/A080603
前橋市,gunma/A1001/A100101
高崎市,gunma/A1001/A100102
桐生・みどり,gunma/A1002/A100201
伊勢崎,gunma/A1002/A100202
太田市,gunma/A1002/A100203
館林・邑楽,gunma/A1002/A100204
沼田,gunma/A1003/A100301
みなかみ・片品,gunma/A1003/A100302
渋川・伊香保・赤城,gunma/A1004/A100401
草津・万座・嬬恋村周辺,gunma/A1004/A100402
六合・中之条・吾妻,gunma/A1004/A100403
富岡・下仁田・上信電鉄沿線,gunma/A1005/A100501
藤岡・神流川流域,gunma/A1005/A100502
安中・松井田・妙義山周辺,gunma/A1005/A100503
名古屋駅周辺,aichi/A2301/A230101
伏見・丸の内,aichi/A2301/A230102
栄・矢場町,aichi/A2301/A230103
新栄,aichi/A2301/A230104
大須・金山・鶴舞,aichi/A2301/A230105
千種・今池・池下,aichi/A2301/A230106
覚王山・本山・東山公園,aichi/A2301/A230107
御器所・いりなか・八事,aichi/A2301/A230108
名古屋城周辺,aichi/A2301/A230109
黒川・大曽根・矢田,aichi/A2301/A230110
名古屋市東部,aichi/A2301/A230111
名古屋市南部,aichi/A2301/A230112
名古屋市西部,aichi/A2301/A230113
名古屋市北部,aichi/A2301/A230114
一宮・稲沢,aichi/A2302/A230201
愛西・津島,aichi/A2302/A230202
犬山・小牧・春日井周辺,aichi/A2303/A230301
瀬戸・愛知郡,aichi/A2303/A230302
大府・東海,aichi/A2304/A230401
知多・常滑・半田周辺,aichi/A2304/A230402
南知多周辺,aichi/A2304/A230403
豊田・三好,aichi/A2305/A230501
岡崎市,aichi/A2305/A230502
安城・知立・刈谷周辺,aichi/A2305/A230503
吉良・西尾・幸田町周辺,aichi/A2305/A230504
豊橋市,aichi/A2306/A230601
豊川・小坂井,aichi/A2306/A230602
蒲郡市,aichi/A2306/A230603
田原・渥美半島,aichi/A2306/A230604
新城・設楽郡,aichi/A2306/A230605
岐阜市,gifu/A2101/A210101
各務原・羽島,gifu/A2101/A210102
海津・養老・木曽三川,gifu/A2101/A210103
大垣・関ヶ原,gifu/A2101/A210104
本巣・谷汲・瑞穂,gifu/A2101/A210105
揖斐川町,gifu/A2101/A210106
美濃加茂,gifu/A2102/A210201
東濃北部・七宗,gifu/A2102/A210202
可児・八百津,gifu/A2102/A210203
関・美濃・山県,gifu/A2102/A210204
郡上市,gifu/A2102/A210205
多治見・土岐・瑞浪,gifu/A2103/A210301
恵那市,gifu/A2103/A210302
中津川市,gifu/A2103/A210303
高山市,gifu/A2104/A210401
飛騨市,gifu/A2104/A210402
下呂市,gifu/A2104/A210403
白川村,gifu/A2104/A210404
葵区・駿河区,shizuoka/A2201/A220101
清水区,shizuoka/A2201/A220102
浜松市,shizuoka/A2202/A220201
袋井・磐田・森町,shizuoka/A2202/A220202
掛川市,shizuoka/A2202/A220203
湖西・新居,shizuoka/A2202/A220204
焼津・藤枝,shizuoka/A2203/A220301
島田・大井川河口,shizuoka/A2203/A220302
菊川・御前崎・牧之原,shizuoka/A2203/A220303
大井川鉄道沿線,shizuoka/A2203/A220304
富士・富士宮,shizuoka/A2204/A220401
御殿場・裾野,shizuoka/A2204/A220402
沼津・三島,shizuoka/A2205/A220501
熱海・函南,shizuoka/A2205/A220502
伊東～下田,shizuoka/A2205/A220503
韮山～修善寺,shizuoka/A2205/A220504
西伊豆・南伊豆,shizuoka/A2205/A220505
津,mie/A2401/A240101
松阪,mie/A2401/A240102
多気・中伊勢,mie/A2401/A240103
四日市,mie/A2402/A240201
鈴鹿・亀山,mie/A2402/A240202
桑名・いなべ,mie/A2402/A240203
伊勢・二見,mie/A2403/A240301
鳥羽,mie/A2403/A240302
志摩・南伊勢,mie/A2403/A240303
伊賀市,mie/A2404/A240401
名張市,mie/A2404/A240402
尾鷲・紀伊長島,mie/A2405/A240501
熊野,mie/A2405/A240502
新潟市,niigata/A1501/A150101
三条・燕・加茂,niigata/A1501/A150102
佐渡島,niigata/A1501/A150103
長岡・見附・小千谷,niigata/A1502/A150201
柏崎・出雲崎,niigata/A1502/A150202
上越市,niigata/A1503/A150301
糸魚川市,niigata/A1503/A150302
妙高市,niigata/A1503/A150303
魚沼市,niigata/A1504/A150401
南魚沼市,niigata/A1504/A150402
十日町・津南,niigata/A1504/A150403
湯沢町,niigata/A1504/A150404
五泉・阿賀野,niigata/A1505/A150501
新発田・月岡温泉,niigata/A1505/A150502
胎内・関川,niigata/A1505/A150503
村上・瀬波温泉,niigata/A1505/A150504
粟島浦村,niigata/A1505/A150505
甲府・甲斐・中央,yamanashi/A1901/A190101
山梨市,yamanashi/A1901/A190102
笛吹・石和温泉,yamanashi/A1901/A190103
甲州市,yamanashi/A1901/A190104
北杜・小淵沢・清里,yamanashi/A1902/A190201
韮崎市,yamanashi/A1902/A190202
甲府盆地西部,yamanashi/A1902/A190203
早川町,yamanashi/A1902/A190204
富士吉田,yamanashi/A1903/A190301
山中湖・忍野,yamanashi/A1903/A190302
河口湖・鳴沢,yamanashi/A1903/A190303
下部温泉・鰍沢,yamanashi/A1904/A190401
身延・南部,yamanashi/A1904/A190402
大月・都留,yamanashi/A1905/A190501
上野原・道志,yamanashi/A1905/A190502
丹波・小菅,yamanashi/A1905/A190503
長野・中条,nagano/A2001/A200101
須坂・高山,nagano/A2001/A200102
千曲・坂城,nagano/A2001/A200103
志賀高原・湯田中,nagano/A2001/A200104
飯山・野沢温泉・栄,nagano/A2001/A200105
中野・飯綱・黒姫高原,nagano/A2001/A200106
松本市,nagano/A2002/A200201
上高地,nagano/A2002/A200202
塩尻,nagano/A2002/A200203
聖高原,nagano/A2002/A200204
軽井沢,nagano/A2003/A200301
佐久市,nagano/A2003/A200302
松原湖・野辺山,nagano/A2003/A200303
上田・別所温泉,nagano/A2004/A200401
小諸・東御,nagano/A2004/A200402
蓼科・白樺・茅野,nagano/A2004/A200403
諏訪・岡谷・霧ケ峰,nagano/A2004/A200404
富士見・原,nagano/A2004/A200405
安曇野市,nagano/A2005/A200501
大町,nagano/A2005/A200502
白馬・小谷,nagano/A2005/A200503
伊那・辰野・高遠,nagano/A2006/A200601
駒ヶ根,nagano/A2006/A200602
飯田・大鹿,nagano/A2006/A200603
長野県最南部,nagano/A2006/A200604
奈良井・木曽福島,nagano/A2007/A200701
王滝・上松・大桑,nagano/A2007/A200702
金沢市,ishikawa/A1701/A170101
津幡・内灘・かほく,ishikawa/A1701/A170102
加賀市,ishikawa/A1702/A170201
小松市,ishikawa/A1702/A170202
白山・能美,ishikawa/A1702/A170203
羽咋・千里浜,ishikawa/A1703/A170301
七尾・和倉温泉,ishikawa/A1703/A170302
能登島,ishikawa/A1703/A170303
輪島市,ishikawa/A1704/A170401
珠洲市,ishikawa/A1704/A170402
内浦海岸・穴水,ishikawa/A1704/A170403
能登金剛・門前,ishikawa/A1704/A170404
富山市,toyama/A1601/A160101
舟橋,toyama/A1601/A160102
黒部・宇奈月,toyama/A1602/A160201
魚津・滑川,toyama/A1602/A160202
入善・朝日,toyama/A1602/A160203
立山山麓・有峰湖,toyama/A1603/A160301
高岡・射水,toyama/A1604/A160401
氷見,toyama/A1604/A160402
小矢部,toyama/A1604/A160403
砺波・庄川,toyama/A1605/A160501
南砺・城端・福光,toyama/A1605/A160502
